name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Fiat Avventura MULTIJET Emotion,2015,53000,1,0,0,2,35000
Audi A8 4.2 TDI,2013,49000,1,1,1,1,280000
Datsun RediGO 1.0 S,2017,15000,0,1,0,2,21000
Volkswagen Jetta 1.4 TSI Comfortline,2013,50000,0,0,0,1,45000
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,53000,1,1,1,1,115000
Honda Civic 1.8 V AT,2009,63500,0,1,1,1,21000
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,9800,0,1,1,1,450000
BMW X1 sDrive 20d xLine,2017,13000,1,0,1,1,275000
Volvo V40 D3 R Design,2018,21000,1,1,1,1,197500
Maruti SX4 Zxi BSIII,2008,29173,0,1,0,1,17500
BMW 7 Series 730Ld,2012,48000,1,1,1,1,250000
Mahindra Bolero Power Plus SLX,2017,120000,1,0,0,1,62800
Hyundai Sonata CRDi M/T,2010,100000,1,0,0,1,60000
Nissan Micra Active XV 0,2017,30000,0,0,0,1,39900
Mahindra Xylo D4,2018,87000,1,0,0,1,75000
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,15000,0,0,0,1,75000
Renault KWID RXT,2017,16000,0,0,0,1,31500
Mahindra Xylo E4 BS III,2012,60000,1,0,0,1,60000
Maruti Wagon R LXI Minor,2010,60000,0,0,0,4,10000
Maruti SX4 ZXI MT BSIV,2011,110000,0,0,0,3,25000
Renault KWID RXT,2017,25000,0,0,0,1,35000
Hyundai Creta 1.4 CRDi S,2016,60000,1,0,0,1,78000
Maruti Swift Dzire VDI,2014,79350,1,0,0,2,43400
Hyundai Verna 1.6 VTVT AT S Option,2016,80000,0,0,1,1,69000
Mahindra Scorpio LX BSIV,2014,90000,1,0,0,2,55500
Maruti SX4 Vxi BSIII,2007,90000,0,0,0,2,12000
Maruti Ertiga VDI,2014,120000,1,0,0,2,50000
Chevrolet Beat 1,2013,60000,1,0,0,2,16500
Maruti Zen LX,2004,50000,0,0,0,1,9500
Maruti Baleno Delta 1.2,2018,20000,0,0,0,1,55000
Maruti Swift Vdi BSIII,2007,110000,1,0,0,4,10000
Tata Nano Lx BSIV,2012,50000,0,0,0,2,10000
Toyota Innova 2.5 GX (1) 8 Seater,2012,100000,1,0,0,1,50000
Maruti Ertiga SHVS VDI,2016,70000,1,0,0,2,80000
Hyundai Creta 1.6 CRDi SX,2016,70000,1,0,0,2,84000
Honda Amaze S i-Vtech,2016,50000,0,0,0,1,49000
Tata Indica Vista Aqua 1.4 TDI,2010,81000,1,0,0,2,12500
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,120000,1,0,0,3,40000
Chevrolet Cruze LTZ,2015,3600,1,1,0,1,100000
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,14272,0,1,0,1,53000
Ford EcoSport 1.5 1 Titanium Plus BSIV,2017,49213,1,1,0,1,84000
Hyundai i10 Sportz 1.1L,2015,40000,0,0,0,1,22999
Maruti 800 Std,1998,40000,0,0,0,4,4000
Chevrolet Spark 1.0 LS,2012,80000,0,0,0,1,13000
Hyundai EON Era Plus,2015,70000,0,0,0,1,20000
Tata Indica Vista Aqua TDI BSIII,2011,70000,1,0,0,1,12000
Hyundai Santro LP zipPlus,2003,57000,0,0,0,1,7500
Tata Bolt Quadrajet XE,2016,120000,1,0,0,1,25000
Maruti 800 AC BSIII,2005,30000,0,0,0,1,10000
Hyundai EON Era Plus,2013,3240,0,0,0,2,28000
Hyundai i20 Magna 1.2,2015,5000,0,0,0,1,54000
Hyundai i20 1.2 Asta,2018,10000,0,0,0,1,70000
Maruti Ciaz VDi Plus,2015,100000,1,0,0,1,52500
Hyundai i20 Asta 1.4 CRDi,2016,80000,1,0,0,1,43000
Hyundai Santro LE,2002,70000,0,0,0,1,6500
Maruti Vitara Brezza VDi,2018,35000,1,0,0,1,80000
Hyundai Santro Xing XL eRLX Euro III,2007,114000,0,0,0,2,7500
Hyundai Getz 1.3 GLS,2008,53772,0,0,0,1,21000
Mahindra Quanto C8,2012,140000,1,0,0,2,19500
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,120000,1,0,0,1,40000
Hyundai EON Magna Plus,2012,60000,0,0,0,1,17000
Renault KWID RXT,2016,25000,0,0,0,1,22500
Maruti Wagon R DUO 3,2014,90000,3,0,0,1,21000
Maruti Wagon R LXI,2020,120000,0,0,0,1,24000
Chevrolet Enjoy 1.3 TCDi LS 8,2015,175000,1,0,0,1,30000
Chevrolet Spark 1.0 LS,2011,100000,0,0,0,3,9900
Honda City i VTEC SV,2014,36000,0,0,0,1,62000
Honda Amaze VX i-DTEC,2013,30000,1,0,0,1,50000
Jaguar XJ 5.0 L V8 Supercharged,2010,40000,0,0,1,2,255000
Honda Brio E MT,2013,70000,0,0,0,2,26000
Maruti Swift VVT ZXI,2017,60000,0,0,0,1,55000
Tata Indigo CR4,2011,155500,1,0,0,1,15000
Hyundai i10 Asta AT,2011,50000,0,0,1,2,35000
Chevrolet Beat LT,2016,40000,0,0,0,1,32000
Maruti Swift VDI BSIV,2015,100000,1,0,0,3,40000
Maruti Alto LXi,2012,80000,0,0,0,3,17500
Chevrolet Beat LT,2011,90000,0,0,0,2,12000
Renault Duster 110PS 1 RxZ,2013,90000,1,0,0,2,32000
Hyundai Santro Xing XG,2006,110000,0,0,0,3,7000
Maruti Swift Dzire ZXI Plus,2019,15000,0,0,0,1,81000
Maruti 800 AC,2007,100000,0,0,0,2,9500
Maruti Alto K10 LXI 2,2020,40000,2,0,0,1,28200
Maruti 800 Std BSII,2004,60000,0,0,0,2,8000
Tata Nano LX SE,2013,25000,0,0,0,1,7200
Hyundai i20 Magna 1.2,2016,25000,0,0,0,1,60000
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,23000,0,0,0,1,64000
Maruti Alto K10 VXI,2018,22155,0,0,0,1,38000
Maruti Ciaz 1.4 Delta,2018,70000,0,0,0,1,65000
Maruti Alto LX,2009,60000,0,0,0,2,15000
Hyundai i20 Asta,2009,110000,0,0,0,2,28000
Tata Nexon 1.2 Revotron XM,2018,30000,0,0,0,1,43000
Mahindra Bolero Power Plus SLX,2019,15000,1,0,0,1,80000
Maruti Zen D,2003,100000,1,0,0,2,7500
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,70000,1,0,1,1,65000
Maruti Eeco 7 Seater Standard BSIV,2017,24000,0,0,0,1,39000
Honda City 1.5 EXI,2005,120000,0,0,0,2,10000
Mercedes-Benz New C-Class 220 CDI AT,2013,35000,1,0,1,1,150000
Maruti SX4 Zxi with Leather BSIII,2007,78380,0,0,0,1,17500
Renault Duster 110PS 1 RxZ,2012,110000,1,0,0,2,43499
Ford Figo 1 Titanium,2010,90000,1,0,0,3,17000
Ford Figo 1 Titanium,2011,90000,1,0,0,3,19000
Maruti Swift Dzire VDi,2009,150000,1,0,0,3,25000
Mahindra Xylo E4,2009,230000,1,0,0,3,22999
Maruti Esteem Vxi - BSIII,2006,70000,0,0,0,3,14000
Maruti Swift VDI BSIV,2017,80362,1,0,0,1,60000
Hyundai i20 1.2 Sportz,2012,110000,0,0,0,3,28000
Chevrolet Beat 1 LT,2012,60000,1,0,0,1,15000
Chevrolet Cruze LTZ AT,2015,50000,1,0,1,1,65000
Nissan Micra XL,2014,40000,0,0,0,2,21000
BMW 5 Series 520d Luxury Line,2017,40000,1,0,1,1,290000
Chevrolet Enjoy 1.3 TCDi LS 8,2013,20000,1,1,0,1,42500
Hyundai EON Era Plus Option,2014,55000,0,1,0,1,26500
Fiat Linea T Jet Emotion,2018,1136,0,1,0,1,89000
Renault Scala RxL,2013,55000,0,1,0,1,36500
Ford Figo 0 Titanium,2014,43000,0,1,0,1,35000
Maruti Ciaz ZDi SHVS,2016,60000,1,0,0,1,68500
Skoda Rapid 1.5 TDI Ambition BSIV,2018,2650,1,1,0,1,94000
Mahindra XUV500 W6 2WD,2017,40000,1,0,0,1,100000
Mahindra XUV300 W8 Option,2019,15000,0,1,0,1,115000
Maruti Ertiga SHVS ZDI,2016,115962,1,0,0,2,45000
Nissan Terrano XE D,2015,65000,1,1,0,1,59000
Maruti S-Cross Facelift,2017,40000,1,0,0,1,80000
Hyundai i20 Magna 1.4 CRDi (1),2012,58000,1,1,0,1,38500
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,15000,1,0,1,1,200000
Hyundai EON Era Plus,2012,54000,0,1,0,1,23500
Volkswagen Ameo 1.5 TDI Highline,2017,56000,1,1,0,1,64000
Maruti Alto LX,2006,120000,0,0,0,3,5200
Maruti Omni 3 CARGO BSIII W IMMOBILISER,2009,90000,3,0,0,2,8000
Maruti Alto LX,2012,70000,0,0,0,2,14000
Hyundai Verna i (0),2008,90000,0,0,0,2,12000
Mahindra Renault Logan 1.5 DLS,2008,213000,1,0,0,1,8999
Chevrolet Optra Magnum 2.0 LS BSIII,2012,120000,1,0,0,1,18000
Mahindra Scorpio S11 BSIV,2017,20000,1,0,0,1,150000
Hyundai i20 Active 1.2 SX,2017,10000,0,0,0,1,70000
Maruti SX4 Celebration 1,2012,80000,1,0,0,2,28500
Hyundai Grand i10 Magna,2015,90000,0,0,0,1,39000
Maruti Alto LXi BSIII,2008,80000,0,0,0,1,12500
Maruti SX4 Zxi with Leather BSIII,2008,60000,0,0,0,2,22500
Hyundai i10 Era,2011,139000,0,0,0,2,17500
Toyota Innova 2.5 V 1 7-seater,2011,160000,1,0,0,2,107500
Honda Mobilio V i DTEC,2014,150000,1,0,0,1,30000
Toyota Innova 2.5 G (1) 7 Seater BS IV,2010,163000,1,0,0,4,70000
Tata Indica V2 2001-2011 DLS BSIII,2009,120000,1,1,0,1,9000
Tata Indica Vista TDI LS,2011,120000,1,0,0,2,12000
Chevrolet Beat 1 LS,2012,100000,1,0,0,2,22000
Tata Zest Quadrajet 1.3 75PS XE,2015,140000,1,1,0,1,30000
Skoda Fabia 1.2L 1 Ambiente,2010,87000,1,1,0,2,18000
Maruti 800 Std,2013,70000,0,0,0,1,17000
Ford Figo 0 Titanium,2015,50000,0,0,0,2,30000
Toyota Innova 2.5 VX (1) 8 Seater,2014,70000,1,0,0,1,105000
Honda Mobilio V i DTEC,2014,150000,1,0,0,1,30000
Hyundai Grand i10 1.2 CRDi Asta,2018,25000,1,0,0,1,46500
Chevrolet Beat 1 LT,2011,80000,1,0,0,2,13000
Datsun GO Plus T Option 0,2018,10000,0,0,0,1,43499
Hyundai Grand i10 1.2 Kappa Asta,2018,32000,0,0,0,1,50000
Maruti Omni MPI STD BSIV,2018,10000,0,0,0,1,20000
Maruti Baleno Alpha 1.2,2017,52000,0,1,0,1,62500
Ford Fiesta Classic 1.4 SXI Duratorq,2006,120000,1,0,0,3,11000
Hyundai Elite i20 Asta Option BSIV,2019,11240,0,0,0,1,80000
Hyundai Grand i10 CRDi Magna,2017,66000,1,1,0,1,49000
Maruti Ertiga SHVS ZDI,2017,64000,1,1,0,1,88000
Hyundai Santro Xing GL Plus,2013,49000,0,0,0,1,29000
Tata Sumo GX TC 7 Str BSIII,2006,100000,1,0,0,2,11599
Renault KWID RXT,2018,26500,0,0,0,1,36000
Maruti 800 AC,2002,100000,0,0,0,2,6500
Maruti Vitara Brezza LDi Option,2017,72000,1,1,0,1,68500
Honda Jazz S,2009,50000,0,0,0,1,30000
Hyundai i20 1.4 Sportz,2017,44000,1,1,0,1,68000
Maruti Ertiga SHVS ZDI Plus,2017,60000,1,0,0,2,100000
Tata Sumo SE Plus BSIII,2002,120000,1,0,0,1,10000
Mahindra Xylo E4,2010,130000,1,0,0,1,16000
Maruti Swift ZDi BSIV,2017,70000,1,0,0,1,45000
Maruti Ertiga VXI,2014,20000,0,0,0,1,60000
Hyundai i20 1.4 Magna ABS,2009,60000,1,0,0,2,18000
Maruti Alto LXi,2007,195000,0,0,0,1,10000
Maruti Alto LXi,2010,90000,0,0,0,2,12000
Hyundai Getz GL,2006,80000,0,0,0,3,13000
Maruti Wagon R LX BS IV,2011,155000,0,0,0,1,16000
Mahindra Bolero Power Plus SLX,2019,35000,1,0,0,1,86000
Hyundai i20 1.2 Spotz,2018,20000,0,0,0,2,65000
Maruti Wagon R LXI Minor,2010,80000,0,0,0,2,10000
Maruti Alto 800 VXI,2017,20000,0,0,0,1,28200
Hyundai i20 Asta (o),2009,50000,0,0,0,1,30000
Hyundai i20 Asta,2010,110000,0,0,0,2,27000
Hyundai Verna 1.6 SX CRDi (O),2013,29000,1,0,0,1,55000
Mahindra Xylo D2 BSIV,2013,120000,1,0,0,1,45000
Mahindra Bolero SLX 2WD BSIII,2011,70000,1,0,0,2,43000
Maruti Ertiga VXI ABS,2013,40000,0,0,0,1,35000
Honda Brio 1.2 E MT,2017,20000,0,0,0,1,35000
Toyota Etios Liva G,2013,50000,0,0,0,2,22999
Maruti Alto 800 LXI,2013,50000,0,0,0,1,11000
Maruti Swift Dzire 1.2 Vxi BSIV,2012,49000,0,0,0,2,39500
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,70000,1,0,1,2,65000
Mahindra Bolero SLX,2011,90000,1,0,0,2,35000
Mahindra XUV500 W11 Option AWD,2020,25000,1,1,0,1,140000
Tata Tiago 1.2 Revotron XZ,2018,4000,0,0,0,1,36000
Mahindra Marazzo M8 8Str,2018,10000,1,0,0,1,130000
Renault Duster 110PS 1 RxL,2015,15000,1,0,0,1,80000
Hyundai EON Magna Plus,2018,30000,0,0,0,1,22999
Maruti Wagon R VXI,2014,41000,0,1,0,1,31500
Chevrolet Spark 1.0 LT,2012,28000,0,0,0,1,12500
Maruti Baleno Alpha,2019,16000,0,0,0,1,70000
Hyundai EON 1.0 Kappa Magna Plus,2015,70000,0,0,0,1,16000
Ford Figo Aspire 1.2 Ti-VCT Trend,2017,10832,0,1,0,1,53000
Ford Figo Aspire Facelift,2018,14681,1,1,0,1,62400
Hyundai i10 Era,2009,50000,0,0,0,1,25000
Mahindra Bolero SLX,2016,51000,1,1,0,1,58500
Hyundai Verna 1.4 VTVT,2015,25000,0,0,0,1,50000
Chevrolet Sail 1.2 LT ABS,2014,30000,0,0,0,1,35000
Honda City i-DTEC SV,2014,80000,1,1,0,1,49500
Hyundai Grand i10 1.2 Kappa Asta,2017,50000,0,0,0,1,50000
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,200000,1,0,0,1,43000
Hyundai Grand i10 1.2 Kappa Sportz Option,2013,44000,0,1,0,1,34500
Maruti Baleno Sigma 1.2,2015,10000,0,0,0,1,50000
Tata Tiago 1.2 Revotron XZ,2019,19600,0,0,0,1,42500
Maruti Wagon R LXI,2005,40000,0,0,0,2,8000
Chevrolet Beat 1 LS,2011,50000,1,0,0,1,10600
Maruti A-Star Vxi,2009,46730,0,0,0,1,18000
Datsun GO A,2015,40000,0,0,0,2,25000
Skoda Yeti Ambition 4WD,2011,80000,1,0,0,1,35000
Maruti Zen LXi BSII,2002,80000,0,0,0,2,6000
Hyundai Verna CRDi 1.6 EX,2018,24000,1,0,0,1,90000
Ford Aspire Titanium 1 BSIV,2017,21170,1,1,0,1,70000
BMW 3 Series 320d Sport,2013,167223,1,1,1,1,200000
Maruti Ertiga SHVS ZDI Plus,2017,40000,1,0,0,1,100000
BMW X1 sDrive 20d Exclusive,2011,60000,1,0,1,1,137500
Toyota Innova Crysta 2.4 VX MT,2016,141440,1,1,0,1,180000
Chevrolet Tavera Neo 3 10 Seats BSIV,2007,120000,1,0,0,3,16000
Mitsubishi Outlander 2.4,2012,140000,0,0,1,1,52500
Mahindra XUV500 W8 2WD,2012,212814,1,1,0,1,85000
Maruti Baleno Alpha 1.3,2019,30000,1,0,0,1,80000
Ford Figo Aspire 1.5 TDCi Titanium,2017,88635,1,1,0,1,70000
Maruti Swift Dzire VDI,2018,25000,1,0,0,1,80000
Hyundai i20 1.2 Spotz,2017,20000,0,0,0,2,57500
Renault Duster 110PS 1 RxZ,2012,110000,1,0,0,2,35000
Maruti Swift Vdi BSIII,2008,120000,1,0,0,3,25000
Ford Endeavour Titanium 4X2,2011,149674,1,1,0,2,60000
Mahindra Scorpio 2.6 Turbo 9 Str,2007,100000,1,0,0,3,37000
Maruti Baleno Vxi,2006,120000,0,0,0,3,8000
Tata Indica DLX,2003,120000,1,0,0,2,5000
Hyundai Verna CRDi 1.6 EX,2018,25000,1,0,0,1,90000
Maruti Wagon R VXI BS IV,2014,35000,0,0,0,2,30000
Tata Indica LSI,2002,40000,0,0,0,1,12500
Maruti Swift Dzire VDI,2015,60000,1,0,0,2,49000
Toyota Etios Liva GD,2012,50000,1,0,0,2,30000
Tata Nano STD,2013,25000,0,0,0,4,5500
Hyundai Grand i10 Sportz,2016,25000,0,0,0,1,35000
Hyundai Grand i10 1.2 CRDi Asta,2019,8000,1,0,0,1,75500
Maruti Ertiga SHVS VDI,2017,60000,1,0,0,1,72000
Mahindra Bolero SLX,2006,200000,1,0,0,3,22999
Mahindra Scorpio S7 140 BSIV,2018,20000,1,0,0,1,110000
Volkswagen Polo 0 Comfortline 1.2L,2013,100000,0,0,0,1,40000
Hyundai Xcent 1.1 CRDi Base,2015,70000,1,0,0,2,35000
Chevrolet Beat 1 PS,2012,68000,1,1,0,1,15900
Maruti Swift ZXi BSIV,2017,38000,0,1,0,1,55000
Maruti Ritz VDi,2013,80000,1,1,0,1,33500
Tata Indigo CS Emax 2 GLX,2014,72000,2,1,0,1,18500
Maruti Eeco 5 STR With AC Plus HTR 2,2012,75000,2,1,0,1,22999
Maruti Estilo LXI,2014,43000,0,1,0,1,22500
Maruti Swift VXI with ABS,2007,120000,0,0,0,2,25000
Tata Zest Quadrajet 1.3 XM,2015,100000,1,0,0,1,40000
Maruti Swift VDI BSIV,2014,163000,1,0,0,1,47000
Maruti Alto K10 VXI AGS Optional,2018,25000,0,0,1,1,30000
Maruti Alto LX,2011,25000,0,0,0,1,14500
Maruti SX4 Vxi BSIII,2007,90000,0,0,0,2,10000
Mahindra Scorpio SLE BSIV,2014,70000,1,0,0,2,50000
Hyundai Santro Xing GLS 2,2010,98000,2,0,0,2,13000
Chevrolet Cruze LTZ,2010,81925,1,0,0,1,24000
Ford Figo 1 Celebration Edition,2013,80000,1,0,0,2,15000
Renault KWID RXT Optional,2017,40000,0,0,0,1,27000
Maruti Swift Dzire VDI,2014,90000,1,0,0,1,40000
Hyundai EON Era Plus,2012,46000,0,0,0,1,20000
Mahindra XUV500 W6 2WD,2012,80000,1,0,0,1,55000
Renault KWID 1.0 RXT Optional,2018,35000,0,0,0,1,32500
Skoda Rapid 1.5 TDI AT Style BSIV,2017,82080,1,0,1,1,86000
Mahindra XUV500 W8 2WD,2012,200000,1,0,0,1,60000
Chevrolet Spark 1.0,2009,70000,0,0,0,1,12500
Maruti 800 AC,2000,40000,0,0,0,3,6000
Chevrolet Tavera Neo 3 10 Seats BSIV,2010,120000,1,0,0,3,30000
Ford Fiesta 1.6 ZXi Duratec,2007,60000,0,0,0,3,19000
Maruti Ertiga VDI,2013,110000,1,0,0,1,40000
Tata Manza Aura Quadrajet BS IV,2011,97000,1,0,0,2,26000
Maruti Swift VVT VXI,2017,30000,0,0,0,1,40000
Hyundai i20 Sportz 0,2010,40000,0,0,0,1,25000
Hyundai Grand i10 1.2 Kappa Asta,2019,10000,0,0,0,1,60000
Maruti Zen Estilo VXI BSIV,2010,52047,0,0,0,1,17500
Toyota Innova 2.5 G (1) 8 Seater BS IV,2011,200000,1,0,0,3,45000
Tata Tiago 1.2 Revotron XZA,2019,15000,0,0,1,2,35000
Maruti Vitara Brezza ZDi,2018,50000,1,0,0,1,80000
Maruti Swift VXI BSIII,2011,70000,0,0,0,2,25000
Maruti Swift VXI BSIV,2019,10000,0,0,0,1,60000
Maruti Swift VDI BSIV,2017,90000,1,0,0,1,60000
Maruti Alto 800 LXI,2016,40000,0,0,0,1,13000
Maruti Wagon R LXI,2006,62009,0,0,0,2,9000
Hyundai i20 Active 1.2 S,2017,33100,0,0,0,2,59500
Hyundai EON Era Plus,2014,40000,0,0,0,2,19000
Hyundai Santro GLS I - Euro I,1999,120000,0,0,0,2,5000
Maruti Wagon R LXI Minor,2007,80000,0,0,0,1,9500
Tata Safari Storme VX,2016,70000,1,0,0,1,100000
Mahindra Scorpio REV 116,2006,220000,0,0,0,2,22000
Mahindra Bolero SLX,2010,50000,1,0,0,1,40000
Datsun GO Plus A,2015,45000,0,0,0,2,31500
Toyota Fortuner 4x4 MT,2014,110000,1,0,0,1,100000
Ford Ecosport 1.5 DV5 MT Titanium,2014,49000,1,0,0,1,50000
Mahindra XUV500 W11 AT BSIV,2018,35000,1,0,1,1,160000
Mahindra Supro VX 8 Str,2017,160000,1,0,0,1,50000
Maruti Alto LX,2007,180000,0,0,0,3,7000
Maruti 800 AC,2007,60000,0,0,0,2,10500
Ford Endeavour 2.5L 4X2 MT,2008,110000,1,0,0,3,40000
Maruti Wagon R LXI,2004,60000,0,0,0,3,8000
Maruti Alto 800 VXI,2016,30000,0,0,0,1,30000
Mahindra KUV 100 D75 K2,2017,40000,1,0,0,1,40999
Maruti Swift Glam,2009,70000,0,0,0,1,25000
Tata New Safari DICOR 2.2 EX 4x2,2010,120000,1,0,0,2,25000
